DATE,A191RP1Q027SBEA
2019-07-01,5.9
2019-10-01,3.9
2020-01-01,-3.5
2020-04-01,-29.2
2020-07-01,39.7
2020-10-01,7.1
2021-01-01,10.9
2021-04-01,12.8
2021-07-01,9.5
2021-10-01,14.6
2022-01-01,6.2
2022-04-01,8.5
2022-07-01,7.2
2022-10-01,6.5
2023-01-01,6.3
2023-04-01,3.8
2023-07-01,8.9
